location,year,total,fatal,severe,light
2.1,2022.0,1.0,0.0,0.0,1.0
2.2,2003.0,13.0,0.0,2.0,11.0
2.2,2004.0,10.0,1.0,1.0,8.0
2.2,2005.0,8.0,0.0,4.0,4.0
2.2,2006.0,13.0,0.0,2.0,11.0
2.2,2007.0,13.0,0.0,3.0,10.0
2.2,2008.0,11.0,1.0,2.0,8.0
2.2,2009.0,6.0,0.0,1.0,5.0
2.2,2010.0,10.0,0.0,2.0,8.0
2.2,2011.0,3.0,0.0,1.0,2.0
2.2,2012.0,2.0,0.0,1.0,1.0
2.2,2014.0,3.0,0.0,0.0,3.0
2.2,2015.0,5.0,1.0,0.0,4.0
2.2,2016.0,4.0,1.0,1.0,2.0
2.2,2018.0,7.0,0.0,0.0,7.0
2.2,2019.0,8.0,0.0,1.0,7.0
2.2,2020.0,5.0,0.0,2.0,3.0
2.2,2021.0,5.0,0.0,0.0,5.0
2.3,2003.0,6.0,1.0,1.0,4.0
2.3,2004.0,7.0,0.0,0.0,7.0
2.3,2005.0,6.0,0.0,0.0,6.0
2.3,2006.0,7.0,0.0,2.0,5.0
2.3,2007.0,1.0,0.0,0.0,1.0
2.3,2008.0,7.0,0.0,1.0,6.0
2.3,2009.0,5.0,1.0,1.0,3.0
2.3,2010.0,2.0,1.0,0.0,1.0
2.3,2011.0,3.0,0.0,0.0,3.0
2.3,2012.0,3.0,0.0,0.0,3.0
2.3,2013.0,2.0,0.0,0.0,2.0
2.3,2015.0,7.0,0.0,2.0,5.0
2.3,2016.0,4.0,0.0,2.0,2.0
2.3,2017.0,3.0,0.0,0.0,3.0
2.3,2018.0,7.0,1.0,2.0,4.0
2.3,2019.0,8.0,0.0,2.0,6.0
2.3,2020.0,9.0,0.0,5.0,4.0
2.3,2021.0,2.0,0.0,0.0,2.0
2.4,2003.0,4.0,1.0,1.0,2.0
2.4,2004.0,2.0,0.0,0.0,2.0
2.4,2005.0,2.0,0.0,1.0,1.0
2.4,2006.0,6.0,0.0,2.0,4.0
2.4,2007.0,3.0,0.0,0.0,3.0
2.4,2008.0,3.0,2.0,0.0,1.0
2.4,2009.0,2.0,0.0,0.0,2.0
2.4,2010.0,2.0,0.0,1.0,1.0
2.4,2011.0,2.0,0.0,0.0,2.0
2.4,2012.0,1.0,0.0,0.0,1.0
2.4,2013.0,1.0,0.0,1.0,0.0
2.4,2015.0,2.0,1.0,0.0,1.0
2.4,2016.0,5.0,0.0,0.0,5.0
2.4,2017.0,1.0,0.0,0.0,1.0
2.4,2018.0,8.0,1.0,2.0,5.0
2.4,2019.0,10.0,0.0,2.0,8.0
2.4,2020.0,4.0,1.0,1.0,2.0
2.4,2021.0,4.0,1.0,1.0,2.0
2.5,2003.0,14.0,1.0,5.0,8.0
2.5,2004.0,16.0,2.0,2.0,12.0
2.5,2005.0,10.0,0.0,1.0,9.0
2.5,2006.0,15.0,0.0,6.0,9.0
2.5,2007.0,9.0,1.0,1.0,7.0
2.5,2008.0,17.0,1.0,4.0,12.0
2.5,2009.0,10.0,0.0,0.0,10.0
2.5,2010.0,12.0,3.0,3.0,6.0
2.5,2011.0,5.0,0.0,1.0,4.0
2.5,2012.0,10.0,1.0,2.0,7.0
2.5,2013.0,8.0,0.0,2.0,6.0
2.5,2014.0,6.0,0.0,4.0,2.0
2.5,2015.0,10.0,0.0,2.0,8.0
2.5,2016.0,5.0,0.0,3.0,2.0
2.5,2017.0,2.0,0.0,0.0,2.0
2.5,2018.0,13.0,1.0,1.0,11.0
2.5,2019.0,12.0,0.0,3.0,9.0
2.5,2020.0,9.0,0.0,2.0,7.0
2.5,2021.0,12.0,0.0,0.0,12.0
2.5,2022.0,1.0,0.0,0.0,1.0
2.6,2003.0,4.0,0.0,1.0,3.0
2.6,2004.0,2.0,0.0,0.0,2.0
2.6,2005.0,5.0,0.0,2.0,3.0
2.6,2006.0,5.0,0.0,1.0,4.0
2.6,2007.0,4.0,0.0,0.0,4.0
2.6,2008.0,6.0,0.0,0.0,6.0
2.6,2009.0,4.0,0.0,0.0,4.0
2.6,2010.0,6.0,0.0,0.0,6.0
2.6,2011.0,2.0,0.0,1.0,1.0
2.6,2012.0,8.0,0.0,0.0,8.0
2.6,2013.0,4.0,0.0,0.0,4.0
2.6,2014.0,6.0,1.0,0.0,5.0
2.6,2015.0,5.0,0.0,2.0,3.0
2.6,2016.0,7.0,0.0,4.0,3.0
2.6,2017.0,1.0,0.0,0.0,1.0
2.6,2018.0,10.0,0.0,2.0,8.0
2.6,2019.0,7.0,1.0,2.0,4.0
2.6,2020.0,1.0,0.0,0.0,1.0
2.6,2021.0,7.0,0.0,0.0,7.0
2.6,2022.0,2.0,0.0,0.0,2.0
2.7,2003.0,4.0,1.0,1.0,2.0
2.7,2004.0,4.0,0.0,2.0,2.0
2.7,2005.0,6.0,0.0,1.0,5.0
2.7,2006.0,3.0,0.0,1.0,2.0
2.7,2007.0,2.0,0.0,1.0,1.0
2.7,2008.0,6.0,0.0,1.0,5.0
2.7,2009.0,2.0,0.0,0.0,2.0
2.7,2010.0,4.0,1.0,0.0,3.0
2.7,2011.0,5.0,0.0,2.0,3.0
2.7,2012.0,3.0,1.0,0.0,2.0
2.7,2013.0,1.0,0.0,1.0,0.0
2.7,2014.0,5.0,0.0,0.0,5.0
2.7,2015.0,5.0,0.0,1.0,4.0
2.7,2016.0,4.0,0.0,0.0,4.0
2.7,2018.0,8.0,2.0,0.0,6.0
2.7,2019.0,5.0,0.0,0.0,5.0
2.7,2020.0,4.0,0.0,0.0,4.0
2.7,2021.0,10.0,1.0,4.0,5.0
2.7,2022.0,2.0,0.0,0.0,2.0
2.8,2003.0,4.0,0.0,2.0,2.0
2.8,2004.0,5.0,0.0,0.0,5.0
2.8,2005.0,4.0,1.0,0.0,3.0
2.8,2006.0,5.0,0.0,1.0,4.0
2.8,2007.0,5.0,1.0,0.0,4.0
2.8,2008.0,6.0,0.0,1.0,5.0
2.8,2009.0,5.0,0.0,1.0,4.0
2.8,2010.0,5.0,0.0,1.0,4.0
2.8,2012.0,3.0,0.0,0.0,3.0
2.8,2013.0,4.0,0.0,1.0,3.0
2.8,2014.0,2.0,0.0,0.0,2.0
2.8,2015.0,7.0,1.0,1.0,5.0
2.8,2016.0,4.0,0.0,1.0,3.0
2.8,2018.0,5.0,1.0,0.0,4.0
2.8,2019.0,11.0,0.0,3.0,8.0
2.8,2020.0,8.0,0.0,1.0,7.0
2.8,2021.0,4.0,0.0,1.0,3.0
2.9,2003.0,5.0,0.0,0.0,5.0
2.9,2004.0,2.0,1.0,0.0,1.0
2.9,2005.0,2.0,0.0,0.0,2.0
2.9,2006.0,3.0,0.0,0.0,3.0
2.9,2007.0,2.0,0.0,0.0,2.0
2.9,2008.0,3.0,0.0,0.0,3.0
2.9,2009.0,1.0,0.0,0.0,1.0
2.9,2011.0,3.0,0.0,1.0,2.0
2.9,2012.0,6.0,0.0,1.0,5.0
2.9,2013.0,3.0,0.0,1.0,2.0
2.9,2014.0,3.0,0.0,0.0,3.0
2.9,2015.0,2.0,0.0,0.0,2.0
2.9,2016.0,2.0,0.0,0.0,2.0
2.9,2017.0,2.0,0.0,0.0,2.0
